char_ngram,language,count
i,tk,20550
j,tk,1148
k,tk,8732
l,tk,17101
m,tk,7746
n,tk,13739
o,tk,5173
p,tk,4222
q,tk,72
r,tk,15479
s,tk,9085
t,tk,9877
u,tk,3067
v,tk,247
w,tk,2599
x,tk,277
y,tk,11580
z,tk,4101
a,te,10529
b,te,2438
c,te,6033
d,te,3780
e,te,14176
f,te,1927
g,te,3144
h,te,4009
i,te,8135
j,te,323
k,te,1984
l,te,5903
m,te,7808
n,te,11297
o,te,10129
p,te,2516
q,te,620
r,te,7073
s,te,7004
t,te,9024
u,te,3335
v,te,1047
w,te,1677
x,te,787
y,te,1585
z,te,339
a,ro,3207323
b,ro,343511
c,ro,1549315
d,ro,948682
e,ro,3405468
f,ro,361832
g,ro,272498
h,ro,154805
i,ro,2882361
j,ro,80658
k,ro,42703
l,ro,1188466
m,ro,1070979
n,ro,1876728
o,ro,1242547
p,ro,860649
q,ro,2141
r,ro,1849834
s,ro,1323447
t,ro,2026007
u,ro,1814792
v,ro,417819
w,ro,22367
x,ro,40321
y,ro,42704
z,ro,199520
a,af,543736
b,af,114988
c,af,34434
d,af,327724
e,af,1132370
f,af,70923
g,af,244658
h,af,95106
i,af,566340
j,af,37877
k,af,280356
l,af,298841
m,af,192864
n,af,527283
o,af,449696
p,af,141489
q,af,2119
r,af,469393
s,af,456607
t,af,399670
u,af,168377
v,af,140290
w,af,114009
x,af,6880
y,af,93117
z,af,3483
a,xh,2712953
b,xh,632228
c,xh,183445
d,xh,312947
e,xh,2173583
f,xh,144147
g,xh,517785
h,xh,904576
i,xh,2098621
j,xh,55899
k,xh,1294948
l,xh,1278984
m,xh,701500
n,xh,1819041
o,xh,1429292
p,xh,254690
q,xh,196108
r,xh,127558
s,xh,847024
t,xh,551074
u,xh,1447397
v,xh,80875
w,xh,698974
x,xh,122151
y,xh,660179
z,xh,557919
a,am,9690
b,am,2920
c,am,4790
d,am,4845
e,am,11933
f,am,1855
g,am,2400
h,am,2142
i,am,7671
j,am,280
k,am,877
l,am,4506
m,am,4653
n,am,7151
o,am,7855
p,am,3594
q,am,122
r,am,7237
s,am,7615
t,am,8546
u,am,2556
v,am,1111
w,am,1523
x,am,463
y,am,2251
z,am,325
a,ug,2376
b,ug,627
c,ug,1210
d,ug,1197
e,ug,2873
f,ug,568
g,ug,1052
h,ug,604
i,ug,2015
j,ug,139
k,ug,764
l,ug,1440
m,ug,1215
n,ug,1536
o,ug,1932
p,ug,1162
q,ug,186
r,ug,1872
s,ug,1851
t,ug,1925
u,ug,864
v,ug,422
w,ug,298
x,ug,414
y,ug,419
z,ug,132
a,se,85471
b,se,12677
c,se,16071
d,se,33247
e,se,63181
f,se,8091
g,se,22548
h,se,21882
i,se,67200
j,se,10110
k,se,19639
l,se,37891
m,se,28718
n,se,43962
o,se,45495
p,se,11592
q,se,858
r,se,34094
s,se,39508
t,se,57049
u,se,30669
v,se,21364
w,se,3622
x,se,1934
y,se,6954
z,se,984
a,el,56714
b,el,13462
c,el,22297
d,el,19121
e,el,58165
f,el,9126
g,el,14737
h,el,17754
i,el,47641
j,el,3767
k,el,11033
l,el,30905
m,el,23472
n,el,38296
o,el,54984
p,el,17685
q,el,1305
r,el,37646
s,el,34361
t,el,34777
u,el,16915
v,el,20457
w,el,5785
x,el,3470
y,el,10185
z,el,3003
a,sl,3152830
b,sl,608676
c,sl,236170
d,sl,1057437
e,sl,3130762
f,sl,65546
g,sl,438630
h,sl,309742
i,sl,2638955
j,sl,1302874
k,sl,1028100
l,sl,1339475
m,sl,1127446
n,sl,1862900
o,sl,2727357
p,sl,1000516
q,sl,1955
r,sl,1538423
s,sl,1419851
t,sl,1392442
u,sl,593735
v,sl,1144684
w,sl,15933
x,sl,6972
y,sl,33998
z,sl,638671
a,ur,8431
b,ur,2532
c,ur,4147
d,ur,3100
e,ur,9822
f,ur,1270
g,ur,2067
h,ur,2567
i,ur,6288
j,ur,361
k,ur,2100
l,ur,6155
m,ur,3092
n,ur,5956
o,ur,7752
p,ur,2693
q,ur,64
r,ur,5446
s,ur,6877
t,ur,7596
u,ur,2547
v,ur,924
w,ur,1051
x,ur,399
y,ur,1337
z,ur,401
a,sk,3293593
b,sk,677906
c,sk,828728
d,sk,1298304
e,sk,3409866
f,sk,116919
g,sk,124917
h,sk,830588
i,sk,2239843
j,sk,740564
k,sk,1302862
l,sk,1327052
m,sk,1455608
n,sk,2416861
o,sk,3598182
p,sk,1277856
q,sk,2776
r,sk,1766178
s,sk,1772641
t,sk,1963266
u,sk,1061198
v,sk,1567005
w,sk,19906
x,sk,30681
y,sk,609043
z,sk,706129
a,sq,2732604
b,sq,456135
c,sq,139994
d,sq,1305246
e,sq,3389911
f,sq,320751
g,sq,512170
h,sq,1634339
i,sq,2643268
j,sq,1449871
k,sq,1283410
l,sq,873827
m,sq,1455639
n,sq,2379460
o,sq,1574811
p,sq,1004542
q,sq,321970
r,sq,2447545
s,sq,1911221
t,sq,3083568
u,sq,1457728
v,sq,455367
w,sq,8424
x,sq,36885
y,sq,209142
z,sq,236961
a,sv,3945986
b,sv,510515
c,sv,443010
d,sv,2008189
e,sv,4049246
f,sv,846236
g,sv,1468107
h,sv,841340
i,sv,2421711
j,sv,477665
k,sv,1265792
l,sv,2061313
m,sv,1473356
n,sv,3364859
o,sv,1621771
p,sv,691726
q,sv,2657
r,sv,3503216
s,sv,2275741
t,sv,3557712
u,sv,805498
v,sv,1006672
w,sv,19150
x,sv,40968
y,sv,218628
z,sv,12801
a,vi,1010921
b,vi,330715
c,vi,1462025
d,vi,149244
e,vi,296137
f,vi,25619
g,vi,1266800
h,vi,2101135
i,vi,1591047
j,vi,16443
k,vi,375520
l,vi,516937
m,vi,657926
n,vi,2647359
o,vi,555199
p,vi,236320
q,vi,73895
r,vi,428844
s,vi,344182
t,vi,1610535
u,vi,585483
v,vi,354180
w,vi,24651
x,vi,84709
y,vi,509763
z,vi,8081
a,uz,153820
b,uz,28419
c,uz,24375
d,uz,32446
e,uz,40855
f,uz,13805
g,uz,31449
h,uz,57709
i,uz,142181
j,uz,6672
k,uz,25458
l,uz,69917
m,uz,42621
n,uz,81781
o,uz,75464
p,uz,12974
q,uz,20217
r,uz,65570
s,uz,79808
t,uz,62711
u,uz,34481
v,uz,10274
w,uz,2307
x,uz,8071
y,uz,28263
z,uz,10889
a,pl,2904428
b,pl,565536
c,pl,1308377
d,pl,1122957
e,pl,2840061
f,pl,87881
g,pl,449546
h,pl,354611
i,pl,2776076
j,pl,860506
k,pl,957793
l,pl,692891
m,pl,1174420
n,pl,1811211
o,pl,2515045
p,pl,976656
q,pl,2156
r,pl,1391370
s,pl,1411481
t,pl,1397296
u,pl,740178
v,pl,20080
w,pl,1341544
x,pl,7096
y,pl,1238314
z,pl,1888952
a,nn,1042367
b,nn,163760
c,nn,78044
d,nn,466927
e,nn,1515458
f,nn,266263
g,nn,421165
h,nn,105031
i,nn,879982
j,nn,154576
k,nn,568909
l,nn,744659
m,nn,385109
n,nn,922024
o,nn,565767
p,nn,349022
q,nn,4034
r,nn,980089
s,nn,744681
t,nn,1027835
u,nn,260747
v,nn,286960
w,nn,21223
x,nn,14196
y,nn,128859
z,nn,8120
a,hy,2408
b,hy,448
c,hy,1473
d,hy,811
e,hy,3222
f,hy,240
g,hy,384
h,hy,837
i,hy,1800
j,hy,30
k,hy,528
l,hy,1084
m,hy,1545
n,hy,2606
o,hy,2042
p,hy,614
q,hy,2
r,hy,1206
s,hy,1385
t,hy,2085
u,hy,545
v,hy,215
w,hy,148
x,hy,89
y,hy,404
z,hy,44
a,ga,2593944
b,ga,287787
c,ga,825014
d,ga,559961
e,ga,971062
f,ga,238320
g,ga,497328
h,ga,1331058
i,ga,1640614
j,ga,4441
k,ga,20110
l,ga,693906
m,ga,479559
n,ga,1272152
o,ga,767404
p,ga,142717
q,ga,2520
r,ga,1045020
s,ga,756011
t,ga,921548
u,ga,351587
v,ga,13819
w,ga,10457
x,ga,6849
y,ga,16365
z,ga,3349
a,he,13095
b,he,3117
c,he,5184
d,he,5082
e,he,13967
f,he,2777
g,he,3413
h,he,5290
i,he,10290
j,he,759
k,he,2340
l,he,6821
m,he,4826
n,he,9553
o,he,10477
p,he,3385
q,he,326
r,he,8758
s,he,8870
t,he,9004
u,he,4472
v,he,1692
w,he,2168
x,he,589
y,he,2895
z,he,585
a,ms,6659879
b,ms,796224
c,ms,205904
d,ms,1129050
e,ms,2168053
f,ms,92192
g,ms,1038525
h,ms,861701
i,ms,2148240
j,ms,262898
k,ms,1936533
l,ms,1014389
m,ms,1309353
n,ms,2719005
o,ms,446850
p,ms,822403
q,ms,5979
r,ms,1256162
s,ms,1176392
t,ms,1481395
u,ms,1636405
v,ms,26020
w,ms,175849
x,ms,8645
y,ms,660795
z,ms,22159
a,mt,9868331
b,mt,1473574
c,mt,217196
d,mt,2363109
e,mt,5399074
f,mt,1594830
g,mt,1502703
h,mt,641155
i,mt,10633163
j,mt,3016903
k,mt,2554116
l,mt,5929490
m,mt,3152282
n,mt,4974292
o,mt,3623706
p,mt,1848154
q,mt,498340
r,mt,4452272
s,mt,3124308
t,mt,7624048
u,mt,3474220
v,mt,634986
w,mt,1062899
x,mt,505883
y,mt,61243
z,mt,1500369
a,km,61797
b,km,12011
c,km,31667
d,km,24220
e,km,74023
f,km,12089
g,km,19631
h,km,16269
i,km,54070
j,km,2258
k,km,23611
l,km,31601
m,km,36265
n,km,54535
o,km,51587
p,km,21686
q,km,2844
r,km,44813
s,km,40917
t,km,58196
u,km,20551
v,km,5931
w,km,8661
x,km,5291
y,km,10311
z,km,2189
a,mn,532
b,mn,205
c,mn,233
d,mn,288
e,mn,665
f,mn,25
g,mn,85
h,mn,181
i,mn,312
j,mn,16
k,mn,72
l,mn,401
m,mn,257
n,mn,342
o,mn,521
p,mn,179
q,mn,17
r,mn,387
s,mn,618
t,mn,576
u,mn,156
v,mn,17
w,mn,118
x,mn,3
y,mn,204
z,mn,16
a,no,1390384
b,no,300745
c,no,51008
d,no,1274360
e,no,3904072
f,no,395514
g,no,995943
h,no,591616
i,no,1309041
j,no,461954
k,no,1027348
l,no,1070815
m,no,768059
n,no,1704472
o,no,941242
p,no,363684
q,no,1641
r,no,1956890
s,no,1152271
t,no,1708294
u,no,472627
v,no,665168
w,no,16781
x,no,5686
y,no,161732
z,no,6918
a,ky,13617
b,ky,2921
c,ky,5430
d,ky,4706
e,ky,12396
f,ky,1579
g,ky,3119
h,ky,3103
i,ky,10264
j,ky,472
k,ky,1872
l,ky,6608
m,ky,4369
n,ky,9881
o,ky,9682
p,ky,3750
q,ky,226
r,ky,8260
s,ky,9782
t,ky,10266
u,ky,4704
v,ky,1366
w,ky,1474
x,ky,710
y,ky,2163
z,ky,481
a,gu,73967
b,gu,21079
c,gu,39656
d,gu,41946
e,gu,85932
f,gu,18389
g,gu,25256
h,gu,18364
i,gu,65299
j,gu,2507
k,gu,12910
l,gu,41830
m,gu,41840
n,gu,63924
o,gu,64986
p,gu,33617
q,gu,1974
r,gu,53060
s,gu,93794
t,gu,72128
u,gu,29215
v,gu,11300
w,gu,10282
x,gu,8481
y,gu,15981
z,gu,2390
a,mg,12812206
b,mg,645475
c,mg,167297
d,mg,1004689
e,mg,2309422
f,mg,1295619
g,mg,343139
h,mg,1810541
i,mg,5163896
j,mg,203604
k,mg,1270500
l,mg,1266459
m,mg,2491321
n,mg,7480584
o,mg,4194402
p,mg,733445
q,mg,12187
r,mg,3151606
s,mg,1765398
t,mg,3020330
u,mg,162289
v,mg,834418
w,mg,63827
x,mg,15105
y,mg,3659671
z,mg,752464
a,kk,34169
b,kk,5630
c,kk,19634
d,kk,12116
e,kk,37124
f,kk,5824
g,kk,9929
h,kk,7066
i,kk,33942
j,kk,952
k,kk,8484
l,kk,15763
m,kk,20202
n,kk,35706
o,kk,26889
p,kk,10155
q,kk,975
r,kk,21913
s,kk,25079
t,kk,33180
u,kk,11970
v,kk,2701
w,kk,4643
x,kk,3082
y,kk,7229
z,kk,1051
a,mr,6787
b,mr,1443
c,mr,3987
d,mr,2641
e,mr,9827
f,mr,1316
g,mr,1365
h,mr,2123
i,mr,5166
j,mr,164
k,mr,1563
l,mr,3188
m,mr,5399
n,mr,7544
o,mr,6026
p,mr,1953
q,mr,250
r,mr,4105
s,mr,4785
t,mr,6554
u,mr,2060
v,mr,631
w,mr,895
x,mr,450
y,mr,848
z,mr,110
